siren,siret_siege,nom_entreprise,personne_morale,entreprise_cessee,statut_rcs,forme_juridique,categorie_juridique,code_naf,libelle_code_naf,domaine_activite,tranche_effectif,effectif_min,effectif_max,annee_effectif,date_creation,ville,code_postal,code_commune,adresse_ligne_1,adresse_ligne_2,departement,dropcontact_status,dropcontact_request_id,dropcontact_email_selected,dropcontact_email_selected_qualification,dropcontact_email_candidates,dropcontact_credits_left_after_post
719200503,71920050300014,ETABLISSEMENTS SAFAR,True,0,Inscrit,"SAS, société par actions simplifiée",5710,13.92Z,"Fabrication d'articles textiles, sauf habillement",Fabrication de textiles,21,50,99,2022,1971-01-01,ARGENTRE-DU-PLESSIS,35370,35006,30 RUE DES SAULNIERS,,77,skipped_missing_required_fields,,,,,
523041523,52304152300037,DDM,True,0,Inscrit,"SASU, société par actions simplifiée unipersonnelle",5720,39.00Z,Dépollution et autres services de gestion des déchets,Dépollution et autres services de gestion des déchets,21,50,99,2022,2010-06-07,LE MEE SUR SEINE,77350,77285,RUE J B COLBERT,,77,skipped_missing_required_fields,,,,,
479523045,47952304500058,MINERIS,True,0,Inscrit,"SAS, société par actions simplifiée",5710,49.41A,Transports routiers de fret interurbains,Transports terrestres et transport par conduites,22,100,199,2023,2004-11-08,AVIGNON,84000,84007,37 RUE PAUL SAIN,CS 40100,77,skipped_missing_required_fields,,,,,
388302648,38830264800034,MDEF DE GPS LA MAISON DE L'EMPLOI ET DE LA FORMATION DE GRAND PARIS SUD,True,0,Non inscrit,Association déclarée,9220,84.13Z,Administration publique (tutelle) des activités économiques,Administration publique et défense ; sécurité sociale obligatoire,22,100,199,2022,1991-11-04,LIEUSAINT,77127,77251,9 ALLEE DE LA CITOYENNETE,,77,skipped_missing_required_fields,,,,,
402628838,40262883800136,COLT TECHNOLOGY SERVICES,True,0,Inscrit,"SAS, société par actions simplifiée",5710,61.10Z,Télécommunications filaires,Télécommunications,32,250,499,2022,1995-10-18,MALAKOFF,92240,92046,23 RUE PIERRE VALETTE,23 A 27,77,skipped_missing_required_fields,,,,,
420833410,42083341000061,DE GUSTIBUS,True,0,Inscrit,"SASU, société par actions simplifiée unipersonnelle",5720,70.22Z,Conseil pour les affaires et autres conseils de gestion,Activités des sièges sociaux ; conseil de gestion,21,50,99,2022,1998-10-01,ISSY-LES-MOULINEAUX,92130,92040,1 ESP DU FONCET,1-3-IMMEUBLE BORDS DE SEINE,77,skipped_missing_required_fields,,,,,
318148467,31814846700075,SGA BURTON,True,0,Inscrit,"SAS, société par actions simplifiée",5710,47.71Z,Commerce de détail d'habillement en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",32,250,499,2022,1980-01-01,PARIS,75009,75109,14 BOULEVARD POISSONNIERE,14-16,77,skipped_missing_required_fields,,,,,
327880779,32788077900035,ALPHA T.P,True,0,Inscrit,SA coopérative ouvrière de production (SCOP) à conseil d'administration,5558,42.11Z,Construction de routes et autoroutes,Génie civil,21,50,99,2023,1983-07-15,BRIE-COMTE-ROBERT,77170,77053,9 RUE DU COQ GAULOIS,9-11,77,skipped_missing_required_fields,,,,,
508601648,50860164800100,HERDEGEN,True,0,Inscrit,"SAS, société par actions simplifiée",5710,32.50A,Fabrication de matériel médico-chirurgical et dentaire,Autres industries manufacturières,22,100,199,2022,2008-10-17,PARIS 15,75015,75115,46 B AVENUE DU MAINE,,77,skipped_missing_required_fields,,,,,
572230829,57223082900135,ST DUPONT,True,0,Inscrit,SA à conseil d'administration (s.a.i.),5599,32.99Z,Autres activités manufacturières n.c.a.,Autres industries manufacturières,31,200,249,2022,1957-01-01,PARIS,75014,75114,92 BOULEVARD DU MONTPARNASSE,,77,skipped_missing_required_fields,,,,,
399983097,39998309700011,BIO-VSM LAB,True,0,Inscrit,"SAS, société par actions simplifiée",5710,86.90B,Laboratoires d'analyses médicales,Activités pour la santé humaine,22,100,199,2023,1995-02-09,VAIRES-SUR-MARNE,77360,77479,10 RUE DE LA GARE,,77,skipped_missing_required_fields,,,,,
