siren,siret_siege,nom_entreprise,personne_morale,entreprise_cessee,statut_rcs,forme_juridique,categorie_juridique,code_naf,libelle_code_naf,domaine_activite,tranche_effectif,effectif_min,effectif_max,annee_effectif,date_creation,ville,code_postal,code_commune,adresse_ligne_1,adresse_ligne_2,departement
429527286,42952728600075,CARL ZEISS MEDITEC FRANCE,True,0,Inscrit,"SAS, société par actions simplifiée",5710,46.46Z,Commerce de gros (commerce interentreprises) de produits pharmaceutiques,"Commerce de gros, à l'exception des automobiles et des motocycles",22,100,199,2022,2000-02-16,RUEIL-MALMAISON,92500,92063,15 AVENUE EDOUARD BELIN,,75
572195550,57219555000171,EDITIONS DALLOZ,True,0,Inscrit,"SASU, société par actions simplifiée unipersonnelle",5720,58.11Z,Édition de livres,Édition,22,100,199,2022,1957-01-01,COURBEVOIE,92400,92026,10 PLACE DES VOSGES,TOUR LEFEBVRE DALLOZ,75
811315167,81131516700064,WESCALE,True,0,Inscrit,"SAS, société par actions simplifiée",5710,62.01Z,Programmation informatique,"Programmation, conseil et autres activités informatiques",21,50,99,2022,2015-05-05,PARIS,75009,75109,34 BOULEVARD HAUSSMANN,,75
562076299,56207629900048,SOC CHLOE,True,0,Inscrit,"SAS, société par actions simplifiée",5710,46.49Z,Commerce de gros (commerce interentreprises) d'autres biens domestiques,"Commerce de gros, à l'exception des automobiles et des motocycles",32,250,499,2023,1956-01-01,PARIS,75008,75108,5 AVENUE PERCIER,5 A 7,75
394765689,39476568900044,EMKA ELECTRONIQUE,True,0,Inscrit,"SASU, société par actions simplifiée unipersonnelle",5720,26.12Z,Fabrication de cartes électroniques assemblées,"Fabrication de produits informatiques, électroniques et optiques",22,100,199,2022,1994-04-15,PRUNIERS-EN-SOLOGNE,41200,41185,RUE DU PATUREAU DE LA GRANGE,,75
389505850,38950585000195,TEAM MEDIA,True,0,Inscrit,"SASU, société par actions simplifiée unipersonnelle",5720,73.12Z,Régie publicitaire de médias,Publicité et études de marché,21,50,99,2023,1992-11-30,PARIS,75015,75115,10 BOULEVARD DE GRENELLE,,75
775719792,77571979202650,LA PREVENTION ROUTIERE,True,0,Non inscrit,"Association déclarée, reconnue d'utilité publique",9230,94.99Z,Autres organisations fonctionnant par adhésion volontaire,Activités des organisations associatives,22,100,199,2023,1984-03-26,PARIS,75009,75109,33 RUE DE MOGADOR,,75
180092256,18009225600023,APIJ AGENCE PUBLIQUE POUR L'IMMOBILIER DE LA JUSTICE,True,0,Non inscrit,Établissement public national à caractère administratif,7389,84.11Z,Administration publique générale,Administration publique et défense ; sécurité sociale obligatoire,22,100,199,2022,2001-08-31,LE KREMLIN-BICETRE,94270,94043,67 AVENUE DE FONTAINEBLEAU,57-77 IMMEUBLE OKABE,75
390850816,39085081600013,SIMONE TEINTURERIE DE LUXE,True,0,Inscrit,"SAS, société par actions simplifiée",5710,96.01B,Blanchisserie-teinturerie de détail,Autres services personnels,21,50,99,2022,1993-02-26,PARIS,75012,75112,163 RUE DE CHARENTON,,75
482858339,48285833900062,DESTINY FRANCE PARTENAIRES,True,0,Inscrit,"SAS, société par actions simplifiée",5710,61.10Z,Télécommunications filaires,Télécommunications,22,100,199,2022,2005-06-10,CLICHY,92110,92024,37 RUE DE NEUILLY,37 A 39,75
850529256,85052925600016,VIVA PAYMENTS VIVA PAYMENT SERVICES S.A,True,0,Radié,Société commerciale étrangère immatriculée au RCS,3120,66.19B,"Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite, n.c.a.",Activités auxiliaires de services financiers et d'assurance,21,50,99,2023,2019-04-30,,,,18 RUE AMAROUSSIOU CHALANDRIOU 18 20,,75
839929551,83992955100019,SEVENFOR2,True,0,Inscrit,"SAS, société par actions simplifiée",5710,56.10C,Restauration de type rapide,Restauration,21,50,99,2023,2018-05-29,BOULOGNE-BILLANCOURT,92100,92012,44 RUE DE SILLY,,75
572199768,57219976800019,ARIJE SA,True,0,Inscrit,"SAS, société par actions simplifiée",5710,47.77Z,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",21,50,99,2022,1957-01-01,PARIS,75008,75108,50 RUE PIERRE CHARRON,,75
817947161,81794716100193,OUIHELP,True,0,Inscrit,"SAS, société par actions simplifiée",5710,88.10A,Aide à domicile,Action sociale sans hébergement,32,250,499,2023,2016-01-14,PARIS,75015,75115,130 RUE DE LOURMEL,,75
309608545,30960854500013,CIORTF COMIT INTERENTREPRISES ORGAN RADIO TELEV,True,0,Non inscrit,Comité social économique d’entreprise,8310,94.20Z,Activités des syndicats de salariés,Activités des organisations associatives,22,100,199,2022,1900-01-01,PARIS,75016,75116,116 AVENUE DU PRESIDENT KENNEDY,,75
434451258,43445125800041,HOLIDAY INNS (COURTALIN),True,0,Inscrit,"SAS, société par actions simplifiée",5710,78.30Z,Autre mise à disposition de ressources humaines,Activités liées à l'emploi,22,100,199,2023,2001-01-06,PARIS,75009,75109,31 RUE DE MOGADOR,31 A 33,75
