siren,siret_siege,nom_entreprise,personne_morale,entreprise_cessee,statut_rcs,forme_juridique,categorie_juridique,code_naf,libelle_code_naf,domaine_activite,tranche_effectif,effectif_min,effectif_max,annee_effectif,date_creation,ville,code_postal,code_commune,adresse_ligne_1,adresse_ligne_2,departement
503117228,50311722800059,VINCI ENERGIES MANAGEMENT,True,0,Inscrit,"SASU, société par actions simplifiée unipersonnelle",5720,82.99Z,Autres activités de soutien aux entreprises n.c.a.,Activités administratives et autres activités de soutien aux entreprises,21,50,99,2022,2008-03-11,NANTERRE,92000,92050,2169 BOULEVARD DE LA DEFENSE,,78
479061046,47906104600104,EXENS SOLUTIONS,True,0,Inscrit,"SAS, société par actions simplifiée",5710,26.12Z,Fabrication de cartes électroniques assemblées,"Fabrication de produits informatiques, électroniques et optiques",22,100,199,2022,2004-10-06,LES ULIS,91940,91692,3 AVENUE DU PACIFIQUE,,78
628200222,62820022200204,TYCO ELECTRONICS FRANCE SAS,True,0,Inscrit,"SAS, société par actions simplifiée",5710,82.99Z,Autres activités de soutien aux entreprises n.c.a.,Activités administratives et autres activités de soutien aux entreprises,32,250,499,2022,1962-01-01,PONTOISE,95300,95500,1 RUE AMPERE,,78
893413617,89341361700091,NEOFOOD'S,True,0,Inscrit,"SAS, société par actions simplifiée",5710,82.11Z,Services administratifs combinés de bureau,Activités administratives et autres activités de soutien aux entreprises,21,50,99,2022,2021-01-26,ENGHIEN-LES-BAINS,95880,95210,4 RUE DU DOCTEUR LERAY,,78
781840533,78184053300033,GROUPE H2O,True,0,Inscrit,SCP d'huissiers,6564,69.10Z,Activités juridiques,Activités juridiques,22,100,199,2022,1900-01-01,BORDEAUX,33000,33063,6 QUAI DES CHARTRONS,,78
480081306,48008130600148,LAMY LIAISONS,True,0,Inscrit,"SAS, société par actions simplifiée",5710,58.14Z,Édition de revues et périodiques,Édition,32,250,499,2022,2004-12-17,SAINT-OUEN-SUR-SEINE,93400,93070,7 RUE EMMY NOETHER,,78
775576036,77557603600534,GROUPE MEAC S.A.S.,True,0,Inscrit,"SAS, société par actions simplifiée",5710,08.11Z,"Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise",Autres industries extractives,22,100,199,2022,1962-01-01,ERBRAY,44110,44054,LE CORMIER,,78
380537902,38053790200054,AISFR ASWO INTERNATIONAL SERVICES FRANCE,True,0,Inscrit,"SAS, société par actions simplifiée",5710,46.52Z,Commerce de gros (commerce interentreprises) de composants et d'équipements électroniques et de télécommunication,"Commerce de gros, à l'exception des automobiles et des motocycles",31,200,249,2022,1991-01-01,NEUVILLE-SUR-OISE,95000,95450,1 BOULEVARD CONDORCET,SIS,78
833718653,83371865300052,STORENGY,True,0,Inscrit,"SAS, société par actions simplifiée",5710,71.12B,"Ingénierie, études techniques",Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,31,200,249,2023,2017-11-22,LA GARENNE-COLOMBES,92250,92035,73 RUE JULES FERRY,,78
510896350,51089635000038,ALLIANCE TRANSPORT VOYAGEURS ATV,True,0,Inscrit,"SARL, société à responsabilité limitée",5499,49.32Z,Transports de voyageurs par taxis,Transports terrestres et transport par conduites,21,50,99,2023,2009-03-15,POISSY,78300,78498,8 RUE DE CHAMBOURCY,,78
